exp,group,sp,stn_perct_r1,stn_perct_r2,stn_perct_r12mean
HNRNPK,10K,mm10,81.10626047,80.20018867,80.65322457
HNRNPK,5K,mm10,80.4342239,79.59185832,80.01304111
HNRNPK,2.5K,mm10,79.48760445,78.76422352,79.12591399
HNRNPK,1K,mm10,77.83821206,77.37900199,77.60860703
HNRNPU,10K,mm10,80.87074067,80.16316256,80.51695162
HNRNPU,5K,mm10,80.95290575,80.20422303,80.57856439
HNRNPU,2.5K,mm10,81.06854385,80.32957521,80.69905953
HNRNPU,1K,mm10,81.4224878,80.67301548,81.04775164
