condition,groups,rpmsum
CLIP_mm10_HNRNPU,RBPlessCK,12.52489048
CLIP_mm10_HNRNPU,CK,0.181798155
CLIP_hg38_HNRNPU,RBPlessCK,0.124675734
CLIP_hg38_HNRNPU,CK,2.282633646
CLAP_mm10_HNRNPU,RBPlessCK,3.789522087
CLAP_mm10_HNRNPU,CK,0.067470447
CLAP_hg38_HNRNPU,RBPlessCK,3.979960521
CLAP_hg38_HNRNPU,CK,0
RIP_mm10_HNRNPK,RBPlessCK,378.4822976
RIP_mm10_HNRNPK,CK,65.4681611
RIP_mm10_HNRNPU,RBPlessCK,428.3537193
RIP_mm10_HNRNPU,CK,74.7189167
