condition,groups,rpmsum
CLIP_mm10_HNRNPU,RBPlessCK,158.646277
CLIP_mm10_HNRNPU,CK,0.604131957
CLIP_hg38_HNRNPU,RBPlessCK,864.6952156
CLIP_hg38_HNRNPU,CK,685.3414
CLAP_mm10_HNRNPU,RBPlessCK,916.9751912
CLAP_mm10_HNRNPU,CK,0.115127959
CLAP_hg38_HNRNPU,RBPlessCK,911.8172852
CLAP_hg38_HNRNPU,CK,502.1103009
RIP_mm10_HNRNPK,RBPlessCK,2927.807213
RIP_mm10_HNRNPK,CK,247.3333744
RIP_mm10_HNRNPU,RBPlessCK,6458.937241
RIP_mm10_HNRNPU,CK,389.7253814
