condition,groups,rpmsum
CLIP_mm10_HNRNPU,RBPlessCK,2.124581158
CLIP_mm10_HNRNPU,CK,0.133529944
CLIP_hg38_HNRNPU,RBPlessCK,2.669822678
CLIP_hg38_HNRNPU,CK,2.459359091
CLAP_mm10_HNRNPU,RBPlessCK,7.426224352
CLAP_mm10_HNRNPU,CK,0.113442965
CLAP_hg38_HNRNPU,RBPlessCK,7.78378522
CLAP_hg38_HNRNPU,CK,0.350635685
RIP_mm10_HNRNPK,RBPlessCK,378.65239
RIP_mm10_HNRNPK,CK,65.51789634
RIP_mm10_HNRNPU,RBPlessCK,429.971115
RIP_mm10_HNRNPU,CK,74.85154402
