"proset","perct","count"
"U2AF65_NUDT21",0.371628949461355,5140
"U2AF65_KHDRBS1",0.0848817872894223,1174
"U2AF65_HNRNPU",0.118429614633794,1638
"U2AF65_HNRNPL",0.118429614633794,1638
"U2AF65_HNRNPC",0.0830742534885402,1149
"U2AF65_CIZ1",0.0756272142289061,1046
"U2AF65_PABPN1",0.225363314293977,3117
"RING1B_NXF1",0.317836743547104,4396
"RING1B_HNRNPK",0.135565035066156,1875
"RING1B_MATRIN3",0.0743980912443063,1029
"RING1B_SPEN",0.258115826765961,3570
"RING1B_HNRNPM",0.154218783891259,2133
"RING1B_PTBP1",0.12645506470971,1749
"RING1B_XRN2",0.276986479647169,3831
"RING1B_TIA1",0.250596486154291,3466
"RING1B_SFPQ",0.282915190514063,3913
"RING1B_RBM15A",0.220013014243366,3043
"RING1B_SAFB",0.11879112139397,1643
"RING1B_YTHDC1",0.201793073530475,2791
"RING1B_SRSF1",0.305473212349071,4225
"RING1B_NUDT21",0.239968187405104,3319
"RING1B_KHDRBS1",0.107512110476466,1487
"RING1B_HNRNPU",0.107873617236642,1492
"RING1B_HNRNPL",0.104330850986913,1443
"RING1B_HNRNPC",0.0773624466777529,1070
"RING1B_CIZ1",0.101294194201432,1401
"RING1B_PABPN1",0.288482394620779,3990
"NXF1_HNRNPK",0.066661846576531,922
"NXF1_MATRIN3",0.039838044971441,551
"NXF1_SPEN",0.166582315089292,2304
"NXF1_HNRNPM",0.0955100860386089,1321
"NXF1_PTBP1",0.100932687441255,1396
"NXF1_XRN2",0.217410165570096,3007
"NXF1_TIA1",0.190007953148724,2628
"NXF1_SFPQ",0.20186537488251,2792
"NXF1_RBM15A",0.386667630684694,5348
"NXF1_SAFB",0.14438580001446,1997
"NXF1_YTHDC1",0.367435471043309,5082
"NXF1_SRSF1",0.521943460342708,7219
"NXF1_NUDT21",0.346974188417323,4799
"NXF1_KHDRBS1",0.0913166076205625,1263
"NXF1_HNRNPU",0.0434531125732051,601
"NXF1_HNRNPL",0.0514785626491215,712
"NXF1_HNRNPC",0.046489769358687,643
"NXF1_CIZ1",0.0867616224423397,1200
"NXF1_PABPN1",0.401489407851927,5553
"HNRNPK_MATRIN3",0.279010917504157,3859
"HNRNPK_SPEN",0.338731834285301,4685
"HNRNPK_HNRNPM",0.24647530908828,3409
"HNRNPK_PTBP1",0.231508929216976,3202
"HNRNPK_XRN2",0.286096450003615,3957
"HNRNPK_TIA1",0.339888655917866,4701
"HNRNPK_SFPQ",0.224495698069554,3105
"HNRNPK_RBM15A",0.0643482033114019,890
"HNRNPK_SAFB",0.217337864218061,3006
"HNRNPK_YTHDC1",0.0800375967030584,1107
"HNRNPK_SRSF1",0.0784469669582821,1085
"HNRNPK_NUDT21",0.103246330706384,1428
"HNRNPK_KHDRBS1",0.0864724170341985,1196
"HNRNPK_HNRNPU",0.515219434603427,7126
"HNRNPK_HNRNPL",0.407056611958644,5630
"HNRNPK_HNRNPC",0.214879618248861,2972
"HNRNPK_CIZ1",0.0667341479285663,923
"HNRNPK_PABPN1",0.108958137517172,1507
"MATRIN3_SPEN",0.196008965367652,2711
"MATRIN3_HNRNPM",0.288988504085026,3997
"MATRIN3_PTBP1",0.315378497577905,4362
"MATRIN3_XRN2",0.127901091750416,1769
"MATRIN3_TIA1",0.157833851493023,2183
"MATRIN3_SFPQ",0.139397006724026,1928
"MATRIN3_RBM15A",0.0341262381606536,472
"MATRIN3_SAFB",0.101655700961608,1406
"MATRIN3_YTHDC1",0.04215168823657,583
"MATRIN3_SRSF1",0.0428024004048876,592
"MATRIN3_NUDT21",0.0486588099197455,673
"MATRIN3_KHDRBS1",0.0586363965006146,811
"MATRIN3_HNRNPU",0.196948882944111,2724
"MATRIN3_HNRNPL",0.183573132817584,2539
"MATRIN3_HNRNPC",0.144819608126672,2003
"MATRIN3_CIZ1",0.0553828356590268,766
"MATRIN3_PABPN1",0.0463451666546164,641
"SPEN_HNRNPM",0.349649338442629,4836
"SPEN_PTBP1",0.18393463957776,2544
"SPEN_XRN2",0.395199190224857,5466
"SPEN_TIA1",0.509001518328393,7040
"SPEN_SFPQ",0.491070783023643,6792
"SPEN_RBM15A",0.141566047285084,1958
"SPEN_SAFB",0.261007880847372,3610
