proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
SUPT16H_XRN2,0.237076133,3279,0,0,1,1,0,0,0
SUPT16H_TIA1,0.19947943,2759,0.930578534,1,0.072316197,0.131518058,0,0,0
SUPT16H_SFPQ,0.194056829,2684,0.998990613,1,0.001084888,0.002014792,0,0,0
SUPT16H_RBM15A,0.485358976,6713,0,0,1,1,1,1,1
SUPT16H_SAFB,0.184729954,2555,0.999999998,1,2.36E-09,4.56E-09,1,1,1
SUPT16H_YTHDC1,0.423902827,5863,6.18E-14,1.86E-13,1,1,1,1,1
SUPT16H_SRSF1,0.665823151,9209,2.75E-14,9.12E-14,1,1,1,1,1
SUPT16H_NUDT21,0.435109537,6018,0,0,1,1,1,1,1
SUPT16H_KHDRBS1,0.09464247,1309,1,1,0,0,0,1,0
SUPT16H_HNRNPU,0.0428024,592,1,1,0,0,0,0,0
SUPT16H_HNRNPL,0.058057986,803,1,1,0,0,0,0,0
SUPT16H_HNRNPC,0.043670017,604,1,1,0,0,1,0,0
SUPT16H_CIZ1,0.089653677,1240,1,1,0,0,0,0,0
SUPT16H_PABPN1,0.436194057,6033,0,0,1,1,1,0,0
U2AF35_U2AF65,0.57327742,7929,0,0,1,1,1,1,0
U2AF35_RING1B,0.294917215,4079,0,0,1,1,0,0,0
U2AF35_NXF1,0.322247126,4457,0,0,1,1,1,1,1
U2AF35_HNRNPK,0.19145398,2648,0.999943977,1,6.12E-05,0.000114233,0,0,0
U2AF35_MATRIN3,0.097606825,1350,1,1,0,0,0,0,0
U2AF35_SPEN,0.350878461,4853,0,0,1,1,1,0,0
U2AF35_HNRNPM,0.208806305,2888,0.10388549,0.248053108,0.899874911,1,0,0,0
U2AF35_PTBP1,0.15082062,2086,1,1,0,0,0,0,0
U2AF35_XRN2,0.350589256,4849,0,0,1,1,0,0,0
U2AF35_TIA1,0.384064782,5312,0,0,1,1,0,0,0
U2AF35_SFPQ,0.317836744,4396,0,0,1,1,0,0,0
U2AF35_RBM15A,0.34654038,4793,0,0,1,1,1,1,1
U2AF35_SAFB,0.242643337,3356,7.33E-15,2.80E-14,1,1,1,1,1
U2AF35_YTHDC1,0.355578049,4918,0,0,1,1,1,1,1
U2AF35_SRSF1,0.454341696,6284,7.69E-14,2.25E-13,1,1,1,1,1
U2AF35_NUDT21,0.465186899,6434,0,0,1,1,1,1,1
U2AF35_KHDRBS1,0.127611886,1765,1,1,0,0,0,1,0
U2AF35_HNRNPU,0.143373581,1983,1,1,0,0,0,0,0
U2AF35_HNRNPL,0.143879691,1990,1,1,0,0,0,0,0
U2AF35_HNRNPC,0.103535536,1432,1,1,0,0,1,0,0
U2AF35_CIZ1,0.121466271,1680,1,1,3.70E-14,7.64E-14,0,0,0
U2AF35_PABPN1,0.29838768,4127,0,0,1,1,1,0,0
